id,customer_id,datetime,services,duration,notes
1,1,2025-05-28 10:00,Κούρεμα,20,
4,1,2025-05-29 10:00,Κούρεμα,20,
6,3,2025-05-29 18:40,Κούρεμα,60,
8,2,2025-05-30 11:20,Βάψιμο,40,Σημείωση για βάψιμο
10,2,2025-05-27 10:00,Κούρεμα,60,Έχει ζητήσει για το καινούργιο ΤΝ ψαλίδι
12,4,2025-05-19 11:20,Κούρεμα,20,
13,4,2025-05-20 10:00,Κούρεμα,20,a a a 
14,4,2025-05-15 13:00,Κούρεμα,20,
15,4,2025-05-25 10:00,Κούρεμα,20,
16,4,2025-04-28 10:00,Κούρεμα,20,
17,4,2025-05-29 19:40,Κούρεμα,20,
18,4,2025-05-29 10:00,Κούρεμα,20,
19,4,2025-06-01 10:00,Κούρεμα,20,
21,4,2025-06-01 18:20,Κούρεμα,20,
22,4,2025-06-06 10:00,Κούρεμα,20,
23,4,2025-05-10 10:00,Κούρεμα,20,
24,4,2025-06-08 10:00,Κούρεμα,20,
25,4,2025-06-07 12:00,Χτένισμα,20,Μια μικρή σημείωση φφσδασφ ασδφσαδ σδαφασδφ αδσφσδαφ ασδδφσδαφ δσφδαφ σδαφφ ασδφ
26,4,2025-05-29 13:00,Βάψιμο,40,
27,4,2025-06-04 10:00,Κούρεμα,20,
28,4,2025-05-10 10:00,Κούρεμα,20,
30,4,2025-05-09 13:00,Χτένισμα,20,
31,4,2025-06-08 11:40,Χτένισμα,20,
37,1,2025-06-02 14:00,Βάψιμο,60,
38,1,2025-05-27 10:00,Κούρεμα,20,
39,4,2025-06-02 16:00,Βάψιμο,60,
40,3,2025-06-02 18:00,Κούρεμα,40,
41,2,2025-06-01 18:00,Κούρεμα,20,κούρεμα!
42,2,2025-06-01 18:40,Χτένισμα,20,Χτένισμα!
43,2,2025-06-03 10:00,Βάψιμο,60,
45,4,2025-06-01 12:20,Κούρεμα,60,
48,2,2025-06-01 10:00,Κούρεμα,20,
50,3,2025-06-03 12:00,Χτένισμα,40,
51,2,2025-06-04 14:20,Βάψιμο,60,
52,3,2025-06-04 17:00,Χτένισμα,20,
53,4,2025-06-04 18:00,Βάψιμο,60,
54,1,2025-06-05 11:00,Κούρεμα,40,
55,1,2025-06-02 10:20,Χτένισμα,20,
56,1,2025-06-02 10:40,Κούρεμα,20,
61,8,2025-06-02 13:40,Κούρεμα,40,
62,12,2025-06-02 13:20,Κούρεμα,40,
63,3,2025-06-03 10:00,Χτένισμα,20,
65,14,2025-06-03 10:40,Κούρεμα,40,
66,4,2025-06-03 11:00,Κούρεμα,40,
68,2,2025-06-05 16:00,Χτένισμα,20,
70,4,2025-06-04 10:40,Κούρεμα,40,
78,1,2025-06-06 11:40,Κούρεμα,40,Σημείωση!@!
81,20,2025-06-10 18:00,Χτένισμα,20,
82,21,2025-06-10 18:40,Χτένισμα,20,
83,1,2025-06-10 10:00,Χτένισμα,20,
84,22,2025-06-11 10:00,Κούρεμα,40,
85,22,2025-06-11 10:40,Κούρεμα,40,
89,22,2025-06-11 11:20,Κούρεμα,40,
90,22,2025-06-11 12:00,Κούρεμα,40,
91,2,2025-06-11 12:40,Κούρεμα,40,
92,2,2025-06-11 13:20,Κούρεμα,40,
93,2,2025-06-11 14:00,Κούρεμα,40,
94,22,2025-06-11 14:40,Κούρεμα,40,
96,3,2025-06-11 16:00,Βάψιμο,60,
97,23,2025-06-11 17:00,Χτένισμα,20,
98,4,2025-06-11 17:20,Κούρεμα,40,
99,2,2025-06-12 18:00,Βάψιμο,60,
100,2,2025-06-17 13:00,Κούρεμα,40,
